"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,4,9,112,105
1,11,41,269,150
2,28,31,175,97
3,24,37,181,97
4,26,40,165,75
5,24,43,179,63
6,18,30,180,70
7,17,24,178,71
8,15,25,165,70
9,21,17,187,54
10,15,18,152,57
11,17,33,115,62
12,16,29,132,58
13,11,16,124,60
14,8,23,131,63
15,7,16,85,66
16,7,18,87,39
17,3,15,67,52
18,6,15,60,64
19,2,12,55,65
20,2,13,46,53
21,5,13,46,42
22,6,9,45,41
23,4,12,42,32
24,3,8,41,41
25,2,9,47,28
26,2,5,47,33
27,3,11,33,24
28,1,5,41,18
29,1,12,37,23
30,3,7,42,14
31,4,5,43,13
32,3,5,31,16
33,3,4,29,12
34,0,5,29,11
35,3,3,29,13
36,1,4,29,12
37,0,2,24,10
38,3,5,31,5
39,2,2,27,4
40,1,1,22,8
41,2,1,25,3
42,2,6,31,8
43,3,2,23,10
44,8,4,16,5
45,1,2,14,3
46,1,2,20,3
47,1,1,18,4
48,3,1,16,3
49,2,2,12,2
50,1,0,18,4
51,1,4,9,4
52,3,2,9,4
53,1,0,10,1
54,3,2,7,2
55,1,2,10,0
56,2,0,9,3
57,0,0,6,1
58,0,3,6,2
59,1,2,6,0
60,1,NA,NA,NA
