"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,2,1,194,159
2,5,1,546,237
3,4,1,435,162
4,11,0,447,137
5,6,1,421,129
6,4,0,456,97
7,4,2,468,97
8,2,3,463,122
9,2,0,457,117
10,3,2,402,99
11,1,1,353,101
12,4,1,296,121
13,4,2,294,103
14,3,4,245,103
15,2,1,226,108
16,1,1,189,110
17,1,0,171,94
18,0,2,146,96
19,1,1,122,114
20,2,0,98,101
21,1,3,103,101
22,1,0,95,79
23,3,2,88,75
24,3,0,84,65
25,1,2,88,74
26,1,2,81,59
27,2,1,76,72
28,2,0,79,47
29,1,1,75,49
30,2,0,79,47
31,3,0,70,45
32,1,0,72,34
33,3,3,70,37
34,2,0,59,30
35,1,1,63,30
36,2,3,55,30
37,0,1,55,30
38,0,2,53,27
39,2,1,52,16
40,1,1,48,8
41,3,0,50,25
42,0,1,57,15
43,0,4,62,12
44,0,2,54,21
45,0,3,38,13
46,0,0,26,11
47,2,0,50,11
48,2,1,32,6
49,1,1,35,10
50,2,3,31,6
51,2,1,34,7
52,1,4,27,6
53,4,1,23,8
54,2,2,25,7
55,0,3,21,6
56,1,1,27,4
57,0,3,27,6
58,4,1,14,2
59,1,1,15,4
60,0,2,12,3
