"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,1,191,160
2,12,2,540,235
3,14,6,425,160
4,15,5,439,137
5,14,4,411,129
6,12,6,443,96
7,11,4,455,96
8,8,3,454,122
9,11,3,448,114
10,5,4,395,97
11,4,2,349,101
12,9,2,289,121
13,7,8,285,103
14,6,0,240,103
15,2,3,223,106
16,5,7,182,110
17,3,3,167,92
18,2,5,143,96
19,4,6,118,113
20,3,1,95,100
21,2,6,100,100
22,4,8,90,79
23,9,6,82,73
24,5,6,80,64
25,2,5,85,74
26,2,4,79,59
27,2,1,74,68
28,4,5,75,47
29,3,5,72,48
30,3,8,76,46
31,0,6,68,43
32,0,5,71,33
33,2,4,67,35
34,4,6,56,29
35,2,6,61,29
36,4,5,49,28
37,1,6,52,30
38,5,4,47,26
39,4,8,48,16
40,1,6,47,8
41,6,4,46,23
42,2,2,55,15
43,1,4,60,11
44,2,9,52,21
45,5,2,32,10
46,1,4,25,10
47,2,6,43,9
48,2,3,30,5
49,1,5,35,9
50,5,3,26,6
51,4,1,31,7
52,1,2,24,7
53,0,0,23,7
54,2,2,24,7
55,1,0,17,5
56,1,0,24,4
57,1,2,25,5
58,2,2,12,1
59,2,4,13,4
60,0,1,11,2
