"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,8,10,90,82
2,28,31,201,117
3,14,21,146,71
4,19,13,129,78
5,9,16,122,63
6,12,13,132,53
7,21,19,128,52
8,11,27,118,60
9,20,22,125,52
10,19,17,140,45
11,13,8,127,44
12,9,7,94,51
13,7,7,111,48
14,10,16,105,48
15,10,19,113,46
16,6,13,73,50
17,5,8,75,32
18,7,12,56,45
19,6,5,48,53
20,5,6,45,52
21,2,9,39,39
22,2,14,36,27
23,4,12,40,33
24,1,10,39,22
25,2,12,35,31
26,3,6,39,20
27,5,5,41,26
28,4,4,26,19
29,6,9,33,14
30,4,5,32,17
31,6,12,35,11
32,3,7,38,10
33,3,8,24,12
34,3,8,22,9
35,4,7,23,7
36,2,6,24,10
37,3,8,22,10
38,1,5,20,7
39,3,6,25,5
40,2,6,23,4
41,1,3,19,6
42,2,4,20,2
43,0,4,30,4
44,3,2,21,5
45,0,4,13,2
46,1,4,9,0
47,3,0,14,3
48,1,6,13,3
49,1,1,13,1
50,0,2,9,2
51,3,1,14,3
52,0,0,7,1
53,0,2,6,3
54,0,1,8,1
55,1,2,5,2
56,1,2,7,0
57,0,2,8,1
58,1,2,4,1
59,0,3,4,2
60,0,2,5,0
