"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,17,155,141
1,9,40,439,196
2,31,54,323,138
3,32,48,335,125
4,30,42,296,113
5,22,31,302,79
6,31,53,325,90
7,26,35,339,105
8,21,36,324,97
9,32,34,294,69
10,29,28,246,90
11,22,31,195,93
12,13,24,219,83
13,15,26,182,85
14,15,15,185,92
15,5,13,130,90
16,7,12,122,72
17,13,12,104,81
18,10,18,91,92
19,5,20,69,88
20,7,8,69,76
21,4,16,67,66
22,9,8,66,63
23,6,10,60,50
24,3,7,64,61
25,4,11,65,47
26,2,14,61,50
27,4,10,59,35
28,2,8,52,37
29,6,8,57,39
30,9,11,56,30
31,2,7,56,23
32,5,2,57,24
33,3,6,45,21
34,1,3,48,17
35,2,6,41,20
36,2,4,35,22
37,4,3,36,19
38,4,0,42,11
39,2,4,37,6
40,4,5,34,18
41,1,1,42,10
42,1,4,51,9
43,1,4,42,15
44,4,4,24,9
45,1,2,22,7
46,0,0,36,4
47,4,0,25,5
48,3,1,28,5
49,1,1,22,4
50,2,0,27,7
51,0,2,16,5
52,4,2,18,5
53,2,2,21,5
54,2,0,14,2
55,1,0,19,2
56,1,1,16,4
57,1,1,11,1
58,0,1,11,3
59,1,2,10,2
60,0,NA,NA,NA
