"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,12,97,88
2,30,41,226,125
3,16,25,154,80
4,19,35,142,85
5,15,18,132,66
6,10,32,149,55
7,16,22,139,52
8,15,23,133,62
9,18,26,132,61
10,18,13,154,48
11,15,17,131,50
12,8,13,99,54
13,8,12,116,53
14,10,13,110,50
15,8,8,118,51
16,7,12,77,51
17,5,7,80,35
18,6,2,60,47
19,5,14,53,58
20,6,4,47,54
21,2,9,40,46
22,6,13,38,30
23,3,11,41,35
24,1,8,41,23
25,1,6,37,35
26,6,4,40,25
27,3,3,43,29
28,3,7,28,21
29,4,10,36,15
30,4,4,34,19
31,4,6,38,12
32,5,8,39,12
33,1,1,27,15
34,3,1,24,9
35,3,6,26,9
36,2,7,26,10
37,4,4,23,11
38,1,3,21,10
39,2,9,28,5
40,2,3,25,4
41,3,2,19,7
42,1,1,23,2
43,1,5,30,5
44,2,4,23,8
45,1,5,13,3
46,3,2,11,1
47,4,3,16,3
48,5,4,14,4
49,3,3,14,1
50,1,1,9,3
51,1,4,16,3
52,0,2,7,1
53,2,5,8,3
54,1,2,8,1
55,1,1,6,2
56,2,4,8,0
57,1,0,8,2
58,1,0,5,1
59,1,2,4,2
60,0,0,5,0
