"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,20,151,136
2,28,43,427,192
3,21,59,307,134
4,24,42,318,124
5,24,50,279,107
6,20,37,284,77
7,19,37,307,88
8,21,28,318,102
9,24,28,306,97
10,15,33,283,67
11,13,32,237,86
12,11,15,190,87
13,10,19,212,80
14,10,14,179,83
15,7,21,180,88
16,11,11,125,85
17,12,17,117,70
18,9,20,101,76
19,9,16,88,87
20,5,16,69,85
21,1,14,68,73
22,4,16,67,61
23,4,11,62,57
24,2,9,59,47
25,2,11,62,58
26,1,8,65,44
27,4,9,59,48
28,2,6,56,32
29,2,5,53,35
30,4,2,57,38
31,2,5,55,26
32,4,7,55,23
33,3,2,55,23
34,2,5,44,21
35,2,6,48,17
36,2,7,40,19
37,3,3,34,20
38,2,1,36,19
39,4,0,39,11
40,2,3,38,6
41,1,1,34,16
42,4,2,40,8
43,2,3,50,9
44,3,2,42,15
45,0,4,24,9
46,1,1,23,7
47,4,1,35,4
48,4,2,25,5
49,0,1,28,5
50,1,0,22,4
51,0,2,27,7
52,2,2,16,5
53,2,2,17,5
54,1,1,21,5
55,0,0,14,2
56,3,2,17,2
57,1,0,16,4
58,0,0,11,1
59,0,1,11,3
60,0,0,10,2
