"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,13,145,126
1,4,40,394,186
2,25,31,273,124
3,18,25,276,120
4,25,35,247,98
5,19,32,255,72
6,13,27,270,80
7,16,33,283,97
8,15,21,266,91
9,24,18,251,64
10,25,17,209,83
11,12,19,169,81
12,15,14,196,71
13,15,9,166,77
14,7,18,172,82
15,7,18,113,79
16,5,7,111,64
17,8,10,90,70
18,9,15,79,80
19,10,12,68,81
20,3,7,62,70
21,5,3,64,58
22,2,11,58,55
23,3,5,59,44
24,1,10,55,55
25,5,2,62,41
26,1,5,54,45
27,5,9,47,32
28,5,7,50,34
29,0,4,53,33
30,3,6,54,24
31,2,5,54,18
32,2,7,45,22
33,6,4,40,17
34,4,1,45,16
35,1,7,35,17
36,5,3,33,19
37,2,1,32,18
38,2,3,38,10
39,0,1,35,4
40,1,5,32,15
41,1,3,36,8
42,4,1,46,9
43,2,3,39,15
44,4,2,21,8
45,2,5,21,6
46,1,2,30,4
47,4,1,23,5
48,4,3,26,5
49,1,3,20,3
50,3,1,24,6
51,1,2,14,4
52,4,0,16,4
53,2,3,21,5
54,1,1,12,2
55,2,1,16,2
56,2,0,14,4
57,1,1,8,1
58,1,3,9,3
59,0,2,9,0
60,2,NA,NA,NA
