"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,16,133,118
1,7,24,349,171
2,18,19,227,114
3,16,30,233,114
4,19,28,203,89
5,13,22,223,70
6,7,19,241,78
7,8,23,232,86
8,14,13,221,85
9,26,10,222,63
10,13,15,189,77
11,12,10,147,72
12,10,16,170,64
13,16,12,154,71
14,8,3,157,79
15,8,16,101,77
16,6,10,103,53
17,6,14,81,61
18,3,10,70,77
19,7,14,64,78
20,5,10,53,66
21,4,18,55,53
22,5,6,52,49
23,8,9,52,44
24,3,5,45,54
25,6,15,58,39
26,2,3,51,40
27,5,4,39,28
28,6,8,48,30
29,2,3,47,31
30,4,6,48,19
31,3,6,48,16
32,4,2,43,17
33,4,7,33,16
34,1,8,38,14
35,5,5,32,18
36,2,3,33,18
37,2,2,30,15
38,3,4,36,8
39,0,3,32,4
40,3,5,27,12
41,1,3,32,5
42,2,2,42,8
43,1,3,33,12
44,4,3,18,5
45,2,6,17,5
46,3,1,26,3
47,0,6,22,4
48,2,6,25,5
49,2,9,16,3
50,2,1,22,4
51,1,4,11,4
52,1,1,12,4
53,3,0,16,2
54,2,3,10,2
55,1,2,14,2
56,1,2,10,3
57,3,2,7,1
58,0,0,8,2
59,0,1,7,0
60,0,NA,NA,NA
