"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,9,172,148
1,8,40,478,213
2,29,53,360,145
3,26,41,373,131
4,24,50,334,117
5,34,48,347,86
6,34,32,368,95
7,26,37,371,113
8,29,36,365,106
9,35,21,334,83
10,27,28,279,94
11,20,28,223,107
12,24,27,237,89
13,17,17,201,93
14,12,19,200,97
15,7,20,139,102
16,17,20,139,81
17,12,15,119,86
18,3,13,98,101
19,11,13,77,91
20,6,18,77,83
21,4,12,77,71
22,2,10,71,64
23,7,11,63,56
24,7,17,67,63
25,8,13,68,49
26,4,6,63,55
27,7,7,64,40
28,5,8,60,40
29,2,11,61,41
30,7,10,58,33
31,2,10,62,25
32,3,6,60,30
33,4,3,47,24
34,2,5,53,20
35,1,6,42,23
36,2,9,42,23
37,3,11,38,22
38,3,0,44,11
39,3,5,42,7
40,1,3,36,18
41,1,2,45,11
42,4,3,52,10
43,4,4,45,16
44,2,7,27,9
45,2,2,23,10
46,1,4,37,5
47,5,1,26,5
48,2,5,29,6
49,2,1,24,6
50,0,0,27,8
51,0,0,21,5
52,1,1,20,5
53,2,4,23,5
54,1,0,15,4
55,1,0,19,2
56,2,0,17,5
57,1,0,12,1
58,0,1,12,3
59,0,0,10,2
60,0,NA,NA,NA
