"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,7,139,124
1,9,31,380,180
2,26,32,263,124
3,18,35,265,117
4,22,29,225,95
5,23,30,246,69
6,11,32,260,80
7,9,28,271,94
8,14,11,252,91
9,24,14,242,63
10,18,27,207,80
11,6,15,164,76
12,14,10,186,70
13,15,9,163,77
14,4,13,166,81
15,10,13,112,78
16,3,13,109,62
17,5,5,88,66
18,6,8,78,79
19,7,11,65,81
20,3,10,61,69
21,4,7,62,56
22,4,8,57,53
23,4,11,57,44
24,2,9,53,54
25,3,5,59,41
26,3,2,52,42
27,7,9,46,29
28,5,3,49,34
29,1,1,53,33
30,2,4,54,23
31,2,1,54,17
32,1,7,44,21
33,4,5,37,17
34,6,1,44,16
35,1,4,34,17
36,6,2,33,19
37,3,7,30,18
38,4,4,38,10
39,0,4,35,4
40,0,5,29,14
41,4,8,34,6
42,4,3,44,8
43,2,3,39,14
44,4,0,19,7
45,2,5,20,5
46,2,2,30,3
47,1,2,23,5
48,3,0,25,5
49,3,1,18,3
50,4,4,24,5
51,1,2,13,3
52,3,1,15,4
53,3,1,20,5
54,2,4,11,2
55,2,2,15,2
56,1,0,13,4
57,1,0,7,1
58,1,2,9,3
59,0,1,8,0
60,2,NA,NA,NA
