"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,7,181,155
1,11,20,515,229
2,25,22,401,158
3,18,19,405,135
4,37,28,385,126
5,22,28,410,96
6,25,22,419,96
7,24,18,420,120
8,23,19,413,112
9,25,14,375,91
10,13,21,321,99
11,17,17,260,118
12,15,14,267,99
13,13,19,228,98
14,11,9,213,103
15,7,17,164,109
16,15,15,153,92
17,12,15,129,93
18,10,13,112,110
19,7,11,89,97
20,5,23,89,90
21,7,7,81,77
22,5,14,78,68
23,6,12,74,59
24,5,6,77,69
25,7,10,74,54
26,2,10,71,63
27,2,8,72,43
28,2,11,62,45
29,7,11,69,46
30,4,5,61,40
31,2,4,66,30
32,6,5,65,33
33,1,10,49,26
34,2,5,58,25
35,1,8,46,24
36,1,6,46,25
37,6,7,43,23
38,2,8,47,14
39,2,4,43,8
40,4,1,37,22
41,6,6,51,14
42,4,2,57,10
43,3,4,47,19
44,3,5,29,10
45,0,4,24,10
46,1,5,40,7
47,4,2,28,5
48,2,5,31,8
49,2,2,24,6
50,0,3,27,8
51,2,3,21,5
52,2,2,22,6
53,1,1,25,5
54,1,0,17,4
55,0,0,21,2
56,4,1,23,5
57,0,4,12,2
58,0,4,13,4
59,1,0,10,2
60,1,NA,NA,NA
