"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,8,176,152
1,11,39,492,218
2,28,39,373,150
3,29,38,383,132
4,27,40,352,123
5,29,32,369,91
6,36,47,380,96
7,32,23,386,117
8,27,32,379,110
9,36,34,347,88
10,24,28,296,95
11,16,30,237,114
12,20,29,242,92
13,20,19,208,94
14,16,25,203,100
15,9,21,150,105
16,12,13,142,86
17,11,11,122,87
18,6,15,105,102
19,7,20,77,95
20,9,11,79,86
21,7,17,76,73
22,4,10,73,65
23,6,12,65,57
24,7,13,73,66
25,8,8,72,52
26,3,6,67,60
27,5,14,66,41
28,5,8,60,43
29,3,7,65,42
30,4,8,59,38
31,1,10,63,25
32,5,11,63,30
33,2,4,48,24
34,1,5,53,21
35,3,4,43,24
36,2,5,42,24
37,5,8,40,22
38,5,7,45,11
39,3,5,42,7
40,2,1,35,20
41,4,5,46,14
42,5,4,55,10
43,2,5,46,18
44,1,7,27,10
45,2,0,24,10
46,0,3,38,6
47,4,2,26,5
48,4,2,30,7
49,2,1,24,6
50,0,2,27,8
51,0,6,21,5
52,1,1,20,5
53,3,2,23,5
54,1,1,16,4
55,1,4,19,2
56,3,1,19,5
57,2,0,12,1
58,0,0,12,3
59,1,0,10,2
60,0,NA,NA,NA
