"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,2,189,160
2,14,11,536,235
3,13,6,423,159
4,18,5,436,137
5,16,4,406,129
6,14,4,441,96
7,14,3,451,96
8,8,3,452,122
9,10,9,448,114
10,9,1,391,97
11,3,3,349,100
12,13,7,285,121
13,6,3,284,102
14,8,8,237,103
15,3,6,221,106
16,4,1,181,110
17,4,6,167,92
18,1,8,143,96
19,4,7,117,113
20,3,7,95,100
21,3,6,99,100
22,5,4,89,79
23,12,1,79,73
24,5,6,78,64
25,3,6,84,74
26,4,8,77,58
27,3,8,74,68
28,3,5,75,47
29,4,5,71,48
30,3,6,75,46
31,0,6,68,43
32,0,5,71,33
33,3,7,66,35
34,4,4,55,28
35,3,8,60,28
36,4,9,48,28
37,2,8,50,29
38,3,3,46,26
39,3,5,48,16
40,1,10,47,8
41,7,2,44,23
42,1,4,55,15
43,1,7,60,11
44,2,3,51,20
45,5,6,32,10
46,0,4,25,10
47,2,1,43,9
48,1,3,30,5
49,2,2,34,9
50,3,3,26,6
51,4,0,29,7
52,0,0,24,7
53,0,4,23,7
54,1,2,24,7
55,1,5,17,5
56,1,2,24,3
57,0,2,24,5
58,2,2,12,1
59,2,0,13,4
60,0,0,11,2
