"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,5,17,139,125
2,25,37,373,176
3,19,48,254,124
4,18,33,262,116
5,20,17,223,92
6,12,17,244,70
7,13,33,259,80
8,17,20,265,93
9,21,14,247,91
10,19,11,237,62
11,9,18,202,81
12,14,19,158,76
13,11,14,182,68
14,5,8,162,74
15,9,12,164,81
16,4,13,110,78
17,5,12,109,59
18,5,7,86,67
19,5,9,79,77
20,3,11,68,81
21,4,12,59,69
22,3,7,60,56
23,4,2,57,51
24,1,8,57,44
25,4,4,52,54
26,3,4,59,40
27,5,5,53,42
28,4,2,45,30
29,3,9,48,32
30,3,5,50,33
31,5,1,51,23
32,1,5,53,17
33,3,3,43,21
34,5,8,37,17
35,1,4,44,16
36,5,6,34,18
37,3,5,33,18
38,4,10,29,16
39,1,4,37,9
40,0,4,35,4
41,2,0,29,13
42,4,7,33,5
43,3,2,43,7
44,3,2,38,13
45,2,2,19,6
46,2,1,20,5
47,2,5,28,3
48,3,4,22,5
49,2,2,25,5
50,2,3,18,3
51,0,5,24,5
52,2,2,14,3
53,3,0,14,4
54,2,1,19,5
55,2,2,11,2
56,1,1,15,2
57,1,1,13,4
58,0,3,7,1
59,0,1,9,3
60,1,1,8,0
