"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,3,182,157
1,12,24,518,230
2,26,22,403,159
3,20,22,411,135
4,33,17,388,126
5,25,20,414,96
6,26,18,421,96
7,27,21,420,121
8,25,23,415,112
9,28,19,376,91
10,14,14,322,99
11,19,15,261,119
12,19,10,268,99
13,14,16,226,100
14,10,12,214,104
15,7,13,165,109
16,16,17,153,92
17,12,9,130,94
18,10,16,112,111
19,6,14,89,97
20,5,16,89,94
21,9,12,82,77
22,5,9,78,68
23,7,18,74,60
24,5,7,77,69
25,7,11,75,55
26,2,11,71,63
27,3,6,72,43
28,2,10,63,46
29,6,10,69,46
30,5,8,61,40
31,2,8,66,31
32,6,10,65,33
33,1,6,49,27
34,2,3,58,25
35,2,3,46,25
36,2,10,46,26
37,6,5,43,23
38,2,6,48,15
39,1,5,44,8
40,3,7,37,23
41,6,6,51,14
42,4,4,57,10
43,3,1,47,20
44,3,6,29,10
45,0,2,24,10
46,1,3,40,7
47,4,5,28,5
48,2,4,31,8
49,2,6,24,6
50,0,2,27,8
51,3,4,21,5
52,2,2,23,6
53,0,3,25,5
54,1,3,17,4
55,0,1,22,2
56,3,1,23,5
57,1,0,12,1
58,0,1,13,4
59,1,1,10,2
60,1,NA,NA,NA
