"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,15,177,153
1,10,31,494,222
2,29,30,374,152
3,32,39,386,132
4,28,38,356,124
5,28,33,375,93
6,36,38,388,96
7,28,26,389,117
8,29,48,383,111
9,35,17,349,88
10,28,27,299,97
11,17,27,240,115
12,19,24,243,93
13,24,25,208,94
14,17,26,203,100
15,12,17,151,106
16,13,22,141,86
17,13,18,123,88
18,6,11,106,102
19,6,11,77,95
20,11,15,79,87
21,9,17,77,73
22,3,9,74,65
23,5,16,66,57
24,7,10,73,66
25,10,11,73,52
26,2,11,68,60
27,5,8,66,42
28,7,5,60,44
29,3,10,66,43
30,4,6,59,39
31,1,6,64,25
32,4,7,63,30
33,2,9,48,25
34,1,10,53,21
35,3,4,44,24
36,1,5,42,24
37,6,4,40,22
38,5,5,46,11
39,2,7,42,7
40,2,7,35,20
41,4,5,46,13
42,7,1,56,10
43,2,2,46,19
44,2,4,28,10
45,2,3,24,10
46,0,6,39,6
47,3,0,26,5
48,4,3,30,7
49,2,2,23,6
50,0,2,27,8
51,0,2,22,5
52,2,1,20,5
53,3,6,23,5
54,1,1,16,4
55,1,2,19,2
56,3,1,19,5
57,3,4,12,1
58,0,1,12,3
59,1,0,10,2
60,0,NA,NA,NA
