"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,22,157,142
1,8,41,444,197
2,29,43,325,138
3,31,51,337,126
4,28,47,298,113
5,24,39,303,79
6,34,29,328,91
7,27,48,341,105
8,21,34,326,98
9,32,32,297,69
10,34,28,252,90
11,18,24,196,94
12,13,29,218,83
13,15,24,183,86
14,15,23,186,92
15,4,15,131,91
16,7,12,123,73
17,12,11,105,81
18,9,9,91,91
19,5,18,70,89
20,7,19,69,77
21,5,8,68,66
22,9,11,66,63
23,6,8,60,51
24,3,9,64,61
25,4,7,65,48
26,2,11,62,50
27,3,13,59,35
28,2,10,52,37
29,7,7,59,39
30,7,7,56,30
31,2,11,57,24
32,4,7,57,24
33,3,2,45,21
34,1,6,49,17
35,1,3,41,20
36,2,6,35,22
37,4,3,37,19
38,3,3,42,11
39,2,0,37,6
40,4,4,34,18
41,1,5,42,10
42,1,1,51,9
43,1,4,42,15
44,4,4,24,9
45,1,4,22,7
46,0,1,36,4
47,4,0,25,5
48,3,0,28,5
49,2,0,22,4
50,2,1,27,7
51,0,0,16,5
52,4,2,18,5
53,2,2,21,5
54,2,2,14,2
55,1,0,19,2
56,1,0,16,4
57,1,1,11,1
58,0,1,11,3
59,1,1,10,2
60,0,NA,NA,NA
