"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,4,135,121
1,10,21,352,169
2,22,33,234,116
3,18,31,240,114
4,19,27,206,90
5,15,19,228,70
6,5,19,242,77
7,12,21,241,88
8,13,25,229,87
9,26,15,227,62
10,13,11,194,78
11,9,17,150,73
12,10,9,177,65
13,11,4,155,71
14,8,8,155,81
15,9,10,103,77
16,8,12,104,55
17,6,9,82,63
18,4,2,73,77
19,9,11,63,79
20,6,7,54,68
21,4,9,57,54
22,5,8,55,49
23,4,11,53,44
24,2,9,46,53
25,7,16,58,39
26,2,6,51,42
27,7,8,42,29
28,5,3,49,31
29,1,12,48,31
30,4,3,49,20
31,3,4,49,16
32,5,5,40,18
33,4,2,35,16
34,2,5,40,14
35,3,5,32,18
36,3,2,33,18
37,2,5,30,16
38,2,6,36,9
39,0,5,33,4
40,2,2,28,13
41,1,2,33,5
42,3,4,41,7
43,2,3,35,11
44,6,2,19,6
45,1,3,18,5
46,2,1,28,3
47,1,1,22,4
48,4,3,25,5
49,1,4,17,3
50,2,1,23,4
51,1,4,12,3
52,3,6,13,4
53,3,7,17,3
54,1,0,11,2
55,0,2,14,2
56,1,0,10,3
57,4,0,7,1
58,0,2,8,2
59,1,2,7,0
60,0,NA,NA,NA
