"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,2,188,160
2,18,5,533,235
3,15,7,420,159
4,22,5,432,136
5,16,4,404,128
6,16,10,436,96
7,16,1,447,96
8,14,4,446,121
9,17,9,440,114
10,8,4,391,96
11,6,8,345,100
12,14,7,282,121
13,9,4,281,101
14,10,6,235,102
15,4,9,221,106
16,6,9,178,110
17,6,8,163,92
18,5,6,139,96
19,4,5,115,113
20,5,1,93,100
21,5,9,98,100
22,4,9,88,79
23,9,11,78,71
24,5,8,77,63
25,4,5,83,74
26,4,7,76,57
27,3,8,74,67
28,2,7,75,47
29,5,6,68,48
30,3,9,74,46
31,1,4,67,43
32,0,10,71,33
33,2,8,66,35
34,5,9,53,27
35,3,5,60,28
36,2,6,48,28
37,1,12,50,29
38,5,2,44,24
39,3,7,48,15
40,0,8,47,8
41,7,4,42,23
42,3,5,53,15
43,1,5,60,10
44,3,2,49,20
45,5,4,30,10
46,0,3,25,10
47,2,3,42,9
48,1,0,30,5
49,2,0,34,9
50,4,4,25,6
51,4,3,29,7
52,1,5,23,7
53,0,2,23,6
54,1,3,24,7
55,1,2,17,5
56,1,1,24,3
57,0,0,24,5
58,2,5,12,1
59,1,1,13,4
60,1,0,10,2
