"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,6,135,120
1,9,33,350,169
2,22,34,232,116
3,16,30,239,114
4,18,22,204,90
5,15,19,225,70
6,6,23,243,77
7,13,25,238,88
8,13,19,229,86
9,24,12,226,62
10,13,17,194,78
11,8,11,148,73
12,11,5,177,64
13,12,9,152,71
14,8,10,155,81
15,9,13,103,77
16,7,9,104,55
17,7,2,81,62
18,4,13,71,78
19,9,7,63,79
20,6,9,54,68
21,4,9,57,54
22,5,11,54,49
23,5,9,53,44
24,2,17,46,53
25,5,6,58,39
26,2,9,52,41
27,5,5,41,29
28,7,12,49,31
29,1,3,48,31
30,4,4,49,20
31,3,6,48,16
32,4,2,42,18
33,4,5,35,16
34,2,5,40,14
35,3,2,33,18
36,3,5,33,18
37,2,7,30,15
38,2,5,37,9
39,0,2,33,4
40,2,2,28,12
41,1,4,32,5
42,4,3,41,7
43,2,2,34,11
44,7,3,17,6
45,1,1,18,5
46,2,1,27,3
47,1,3,22,5
48,4,4,25,5
49,1,1,17,3
50,2,5,23,4
51,1,6,12,3
52,3,7,13,4
53,3,0,17,3
54,1,2,11,2
55,0,0,14,2
56,1,0,10,3
57,4,2,7,1
58,0,2,8,2
59,1,2,7,0
60,0,NA,NA,NA
