"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,0,191,161
2,9,3,545,235
3,8,1,431,162
4,15,3,442,137
5,11,4,416,129
6,7,3,451,96
7,8,6,461,96
8,7,1,455,122
9,7,4,451,115
10,3,3,399,98
11,2,3,351,101
12,5,4,293,121
13,3,2,290,103
14,3,1,243,103
15,2,1,224,108
16,5,3,183,110
17,2,3,170,92
18,2,2,144,96
19,4,5,118,113
20,3,0,96,101
21,2,3,101,100
22,1,6,95,79
23,6,2,85,73
24,3,4,82,65
25,2,5,87,74
26,1,1,81,59
27,1,4,75,69
28,2,5,77,47
29,2,5,74,49
30,3,4,77,47
31,2,3,68,44
32,1,2,71,33
33,2,1,67,36
34,3,4,57,30
35,2,2,61,30
36,7,5,49,29
37,2,4,52,30
38,5,5,48,26
39,4,2,49,16
40,3,3,46,8
41,6,5,46,26
42,0,2,57,15
43,1,6,62,11
44,0,4,54,21
45,5,5,33,12
46,1,6,25,11
47,1,3,45,9
48,1,1,32,5
49,1,2,35,9
50,4,6,28,6
51,3,2,32,7
52,2,3,24,6
53,0,5,23,7
54,2,2,24,7
55,1,5,17,5
56,0,2,25,4
57,1,0,25,5
58,1,1,13,1
59,3,0,13,4
60,1,2,11,3
