"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,18,146,130
1,5,44,399,188
2,25,34,279,126
3,22,39,283,121
4,27,38,252,100
5,24,31,264,72
6,14,21,276,81
7,15,19,292,98
8,14,22,276,91
9,24,23,264,64
10,19,18,217,83
11,13,23,175,83
12,14,16,202,74
13,9,13,169,78
14,8,13,175,83
15,6,16,115,80
16,9,8,112,65
17,8,8,93,71
18,8,13,82,81
19,8,13,66,81
20,3,7,64,71
21,4,9,64,58
22,2,12,59,56
23,3,8,59,44
24,2,5,55,55
25,6,2,62,43
26,0,8,56,45
27,5,5,49,32
28,3,8,50,35
29,1,2,54,35
30,2,3,53,25
31,4,7,55,19
32,2,5,49,22
33,5,2,42,18
34,2,5,45,16
35,2,4,39,17
36,1,3,33,19
37,2,2,33,18
38,2,1,38,11
39,0,5,36,4
40,1,1,33,16
41,0,1,36,8
42,6,2,48,9
43,1,1,40,15
44,3,3,22,8
45,1,3,21,6
46,1,1,31,4
47,6,3,23,5
48,5,1,26,5
49,1,1,21,4
50,1,2,25,6
51,1,1,15,5
52,3,3,16,5
53,2,2,21,5
54,1,0,12,2
55,2,2,16,2
56,3,0,14,4
57,1,2,9,1
58,1,1,9,3
59,2,0,10,0
60,1,NA,NA,NA
