"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,9,8,90,81
2,30,17,197,116
3,13,19,145,70
4,22,16,125,77
5,10,22,120,62
6,9,32,132,53
7,21,26,125,50
8,10,17,117,60
9,22,15,119,52
10,19,10,136,43
11,16,10,123,44
12,10,19,93,50
13,7,20,111,48
14,12,14,103,47
15,9,10,112,46
16,5,11,73,50
17,5,6,75,31
18,6,9,56,43
19,6,10,48,52
20,6,14,44,53
21,2,12,39,38
22,3,9,35,26
23,4,12,40,33
24,0,6,39,22
25,1,9,35,31
26,3,6,39,19
27,3,11,41,26
28,4,6,26,19
29,3,14,34,13
30,3,9,32,17
31,4,9,35,11
32,3,8,38,9
33,4,7,23,12
34,3,6,22,9
35,4,8,23,7
36,2,6,24,10
37,1,6,23,9
38,1,6,20,7
39,3,5,24,5
40,1,5,23,4
41,1,4,19,6
42,2,2,20,1
43,1,4,29,4
44,3,5,21,6
45,0,0,13,2
46,1,6,10,0
47,3,1,14,3
48,0,2,12,3
49,2,1,13,1
50,0,0,9,2
51,1,3,14,3
52,0,1,7,1
53,0,2,6,3
54,0,2,8,1
55,1,2,5,2
56,1,2,7,0
57,0,3,8,1
58,1,2,4,1
59,0,0,4,2
60,0,1,5,0
