"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,14,151,136
2,30,61,426,192
3,20,42,307,133
4,25,50,315,124
5,23,40,278,105
6,22,37,281,76
7,21,31,303,88
8,19,29,318,102
9,23,37,303,97
10,16,33,281,67
11,13,15,237,86
12,12,19,189,87
13,10,15,211,80
14,9,22,178,83
15,6,14,180,87
16,11,17,124,85
17,9,23,117,70
18,8,17,101,76
19,9,16,88,87
20,5,14,69,85
21,1,16,68,73
22,3,13,67,60
23,4,9,62,57
24,2,11,59,47
25,2,8,62,58
26,1,9,65,44
27,4,6,59,48
28,2,6,56,32
29,3,2,52,35
30,4,6,57,37
31,2,7,55,26
32,4,2,55,23
33,3,5,55,23
34,1,7,44,21
35,2,7,48,17
36,2,3,40,19
37,4,1,33,20
38,1,1,36,19
39,4,3,39,12
40,2,1,37,6
41,1,2,34,16
42,4,3,40,8
43,2,2,50,9
44,2,5,42,15
45,0,1,24,9
46,1,1,23,7
47,3,2,35,4
48,4,1,25,5
49,0,0,28,5
50,1,2,22,4
51,1,2,26,7
52,2,2,16,5
53,2,1,17,5
54,1,0,21,5
55,0,2,14,2
56,3,0,17,2
57,1,0,16,4
58,0,1,11,1
59,0,0,11,3
60,0,2,10,2
