"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,21,154,140
1,8,40,436,194
2,30,38,320,138
3,30,37,332,125
4,26,56,293,112
5,24,40,302,78
6,26,41,321,90
7,22,37,333,105
8,19,35,322,97
9,26,40,293,69
10,22,25,246,90
11,17,34,194,89
12,12,21,217,82
13,12,16,182,85
14,11,12,184,92
15,6,15,128,89
16,9,22,122,73
17,11,26,103,78
18,9,8,91,89
19,4,17,69,87
20,6,11,69,76
21,2,13,67,62
22,8,9,65,61
23,5,13,60,49
24,2,15,64,59
25,3,12,65,46
26,1,11,61,49
27,3,11,58,34
28,2,12,52,37
29,6,7,57,38
30,7,3,56,29
31,2,8,55,23
32,5,3,57,24
33,2,6,45,21
34,1,5,48,17
35,2,4,41,19
36,2,1,34,21
37,5,4,36,19
38,4,6,40,11
39,4,1,37,6
40,3,4,34,18
41,1,5,41,10
42,2,5,50,9
43,1,2,42,15
44,3,0,24,9
45,1,0,22,7
46,0,1,36,4
47,4,1,25,5
48,3,0,28,5
49,1,2,22,4
50,2,2,27,7
51,0,3,16,5
52,3,0,18,5
53,2,0,21,5
54,2,1,14,2
55,1,1,19,2
56,1,1,16,4
57,1,2,11,1
58,0,2,11,3
59,1,1,10,2
60,0,NA,NA,NA
