"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,14,146,130
1,5,31,398,188
2,25,37,278,126
3,24,36,281,121
4,27,34,251,100
5,20,21,261,72
6,15,20,275,81
7,15,26,288,99
8,17,25,273,91
9,26,21,261,64
10,22,22,216,83
11,10,19,173,81
12,14,14,204,74
13,9,13,167,77
14,9,16,173,83
15,9,9,114,80
16,8,9,112,65
17,8,15,93,70
18,7,13,81,80
19,8,7,66,81
20,3,9,63,71
21,5,13,64,58
22,2,9,61,56
23,3,6,59,44
24,1,4,55,55
25,6,8,62,42
26,0,5,54,45
27,5,9,47,32
28,5,2,50,35
29,2,2,53,35
30,3,7,53,25
31,4,5,55,18
32,2,2,47,22
33,6,5,42,18
34,2,4,45,16
35,2,3,37,17
36,3,3,33,19
37,1,1,33,18
38,2,6,38,10
39,0,1,36,4
40,1,1,33,16
41,0,3,36,8
42,5,1,47,9
43,1,3,40,15
44,3,3,21,8
45,2,1,21,6
46,1,3,31,4
47,6,1,23,5
48,5,1,26,5
49,1,2,20,4
50,2,1,25,6
51,0,3,15,5
52,3,3,16,4
53,2,0,21,5
54,1,2,12,2
55,2,0,16,2
56,3,2,14,4
57,1,1,9,1
58,1,1,9,3
59,1,0,10,0
60,1,NA,NA,NA
