"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,7,181,155
1,11,23,513,228
2,25,20,399,157
3,17,29,404,136
4,36,30,383,126
5,24,23,409,96
6,23,19,413,96
7,28,23,420,120
8,21,13,410,112
9,27,22,373,90
10,15,17,320,99
11,18,14,257,117
12,18,20,263,98
13,17,10,225,98
14,12,18,213,103
15,6,17,161,109
16,16,19,151,92
17,11,13,129,93
18,10,12,112,109
19,6,25,88,96
20,6,7,88,90
21,8,15,80,76
22,6,12,77,68
23,7,6,73,59
24,6,10,78,69
25,7,10,74,54
26,2,8,71,63
27,2,11,72,43
28,2,12,63,45
29,7,5,69,46
30,4,4,61,40
31,2,5,66,30
32,6,10,64,33
33,2,5,49,26
34,2,8,58,25
35,1,7,46,24
36,0,7,46,25
37,7,8,43,23
38,2,4,47,14
39,2,1,43,8
40,4,7,37,22
41,5,2,50,14
42,5,4,57,10
43,3,5,47,19
44,3,3,29,10
45,0,5,24,10
46,1,2,40,7
47,4,5,28,5
48,2,2,31,8
49,2,3,24,6
50,0,5,27,8
51,2,2,21,5
52,2,1,22,6
53,1,0,24,5
54,2,1,17,5
55,0,2,21,2
56,3,3,23,5
57,0,4,12,2
58,0,0,13,3
59,1,1,10,2
60,1,NA,NA,NA
