"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,20,175,152
1,11,48,487,216
2,30,45,370,150
3,29,37,379,131
4,26,56,346,122
5,32,29,359,90
6,38,33,374,96
7,35,40,380,115
8,29,35,373,107
9,38,34,345,87
10,23,34,288,96
11,19,21,230,112
12,23,27,241,90
13,20,25,204,94
14,19,15,203,100
15,9,14,146,104
16,17,19,140,86
17,11,18,120,86
18,7,13,103,102
19,9,17,77,94
20,8,11,78,85
21,7,14,76,72
22,4,14,73,65
23,7,9,65,57
24,6,10,72,64
25,7,15,72,52
26,1,9,67,59
27,6,7,65,41
28,6,9,60,43
29,3,11,63,42
30,5,12,58,37
31,1,5,63,25
32,4,5,62,30
33,3,4,47,24
34,2,6,53,21
35,3,8,43,24
36,1,9,42,24
37,5,6,39,22
38,3,2,44,11
39,3,5,42,8
40,2,4,35,20
41,4,6,46,12
42,5,8,53,10
43,4,0,46,17
44,1,3,27,9
45,2,2,24,10
46,0,2,37,6
47,5,3,26,5
48,4,3,29,6
49,2,6,24,6
50,0,1,27,8
51,0,2,21,5
52,1,1,20,5
53,3,4,23,5
54,1,1,15,4
55,2,0,19,2
56,3,0,19,5
57,2,0,12,1
58,0,1,12,3
59,0,0,10,2
60,0,NA,NA,NA
