"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,1,188,160
2,20,4,531,235
3,15,4,419,159
4,21,4,431,136
5,17,10,402,127
6,16,3,436,96
7,16,6,446,96
8,13,9,446,121
9,20,4,436,113
10,9,10,389,96
11,6,9,345,100
12,17,4,279,121
13,9,7,281,101
14,9,9,235,102
15,4,10,220,106
16,6,8,177,110
17,6,7,163,92
18,5,5,139,96
19,6,1,114,113
20,4,9,93,100
21,3,11,98,100
22,4,12,88,79
23,9,8,78,71
24,5,5,77,63
25,4,7,83,74
26,4,8,76,57
27,3,8,73,67
28,2,6,75,47
29,5,8,68,48
30,2,4,74,46
31,2,10,66,43
32,1,8,70,33
33,2,9,66,35
34,5,6,52,27
35,3,6,59,28
36,2,12,47,28
37,1,4,50,29
38,6,6,43,24
39,3,8,48,15
40,0,4,47,8
41,6,6,42,23
42,3,6,54,15
43,1,2,59,10
44,3,4,49,20
45,6,3,29,10
46,0,3,25,10
47,2,1,42,8
48,1,0,30,5
49,2,4,34,9
50,4,3,25,6
51,3,5,29,7
52,1,2,23,7
53,0,3,23,6
54,1,2,24,7
55,1,0,17,5
56,1,1,24,3
57,0,4,24,5
58,2,1,12,1
59,1,0,13,4
60,1,3,10,2
