"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,1,191,159
2,8,3,545,235
3,7,4,432,162
4,15,2,443,137
5,11,4,416,129
6,7,4,451,97
7,8,2,462,96
8,6,4,456,122
9,6,1,452,116
10,4,4,399,98
11,2,1,351,101
12,5,2,293,121
13,3,5,290,103
14,4,2,243,103
15,1,1,225,108
16,7,0,183,110
17,2,2,169,92
18,2,1,144,96
19,4,2,118,114
20,3,4,96,101
21,1,0,102,100
22,1,3,94,79
23,5,6,87,73
24,4,2,82,65
25,2,4,87,74
26,1,4,81,59
27,1,1,75,70
28,2,3,78,47
29,2,5,74,49
30,3,5,77,47
31,2,4,68,44
32,2,3,71,33
33,2,2,68,36
34,4,1,57,30
35,2,2,61,30
36,7,2,49,29
37,2,5,53,30
38,5,3,48,27
39,4,5,49,16
40,3,2,46,8
41,6,3,46,25
42,0,4,57,15
43,1,2,61,11
44,0,6,55,21
45,6,4,33,12
46,1,5,25,11
47,3,5,45,9
48,1,3,32,5
49,1,0,35,9
50,4,1,28,6
51,3,6,32,7
52,3,2,24,6
53,0,3,23,7
54,2,4,24,7
55,1,2,17,5
56,1,5,25,4
57,1,2,25,5
58,1,0,13,1
59,2,0,14,4
60,1,0,11,3
