"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,1,0,195,160
2,2,2,549,237
3,2,0,438,163
4,6,0,452,138
5,2,1,426,129
6,1,1,458,97
7,2,0,473,97
8,0,0,465,122
9,0,3,459,117
10,1,0,404,100
11,0,1,354,101
12,4,0,297,121
13,0,1,298,104
14,2,2,246,103
15,2,0,229,108
16,1,1,189,110
17,1,0,171,94
18,0,1,146,96
19,1,2,123,114
20,0,2,99,102
21,0,1,104,101
22,0,1,96,79
23,1,0,90,75
24,3,2,84,65
25,0,1,89,74
26,1,0,81,59
27,1,2,77,72
28,2,0,79,47
29,1,2,76,49
30,2,0,79,48
31,2,1,71,45
32,1,2,72,34
33,2,0,71,37
34,3,0,59,30
35,1,1,63,30
36,1,0,56,30
37,1,0,55,30
38,0,0,53,27
39,1,2,53,16
40,2,0,48,8
41,1,1,52,25
42,0,2,57,15
43,1,1,63,12
44,0,2,54,21
45,0,0,38,13
46,1,0,26,11
47,1,0,51,11
48,1,1,33,6
49,1,4,35,10
50,3,2,31,6
51,1,2,35,7
52,1,0,28,7
53,2,0,25,8
54,1,1,26,7
55,0,1,21,7
56,3,0,28,4
57,1,1,26,6
58,3,4,16,2
59,1,0,15,4
60,0,1,12,3
