"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,25,109,104
1,10,56,256,146
2,31,39,169,94
3,24,35,173,91
4,25,31,152,74
5,27,27,166,62
6,25,28,172,65
7,20,41,170,70
8,17,39,153,70
9,24,23,175,53
10,21,25,144,56
11,19,19,111,62
12,16,23,130,57
13,11,22,119,57
14,12,18,129,59
15,8,13,82,65
16,6,18,86,38
17,4,19,66,50
18,5,10,59,62
19,3,16,55,61
20,2,11,46,51
21,3,14,44,37
22,8,6,44,39
23,3,13,41,30
24,3,6,40,39
25,2,13,47,28
26,2,9,47,33
27,2,6,31,23
28,2,7,40,18
29,2,5,36,22
30,4,7,41,14
31,2,5,43,13
32,3,5,29,16
33,3,3,28,10
34,1,5,29,11
35,3,3,29,11
36,0,1,28,12
37,1,1,22,10
38,5,6,30,5
39,3,2,26,4
40,2,5,21,8
41,4,5,25,3
42,0,5,30,6
43,4,2,23,10
44,5,1,13,4
45,4,3,13,2
46,1,2,20,3
47,0,4,18,4
48,2,3,16,3
49,2,0,12,2
50,1,2,18,4
51,1,2,10,3
52,3,0,8,4
53,2,0,9,1
54,4,4,6,2
55,2,2,9,0
56,2,0,8,3
57,1,2,6,1
58,0,4,5,2
59,2,2,5,0
60,1,NA,NA,NA
