"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,8,15,153,139
2,28,45,434,194
3,30,41,317,138
4,23,57,332,125
5,23,41,292,112
6,25,45,299,78
7,23,40,319,89
8,19,35,333,105
9,25,43,322,97
10,20,27,292,69
11,16,36,246,89
12,14,21,192,89
13,11,17,217,82
14,9,14,182,85
15,6,17,184,90
16,9,24,128,88
17,10,26,122,72
18,7,9,103,78
19,4,17,91,89
20,6,11,69,87
21,2,15,69,74
22,8,9,67,62
23,5,13,65,61
24,2,15,60,49
25,3,12,63,59
26,1,11,65,46
27,3,11,61,49
28,2,12,58,34
29,5,7,52,37
30,7,5,57,38
31,2,8,56,29
32,5,3,55,23
33,2,7,57,23
34,1,5,45,21
35,2,4,48,17
36,2,1,41,19
37,4,4,34,21
38,4,6,36,19
39,4,1,40,11
40,3,4,37,6
41,1,5,34,18
42,2,5,41,10
43,1,2,50,9
44,3,0,42,15
45,1,0,24,9
46,0,1,23,7
47,4,1,36,4
48,3,0,25,5
49,1,2,28,5
50,2,2,22,4
51,0,3,27,7
52,3,0,16,5
53,2,0,18,5
54,2,1,21,5
55,1,1,14,2
56,1,0,19,2
57,1,2,16,4
58,0,1,11,1
59,1,1,11,3
60,0,0,10,2
