"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,4,187,158
1,9,4,527,234
2,21,13,415,159
3,14,12,422,136
4,28,8,396,127
5,20,13,430,96
6,15,20,433,96
7,22,16,433,121
8,18,17,426,113
9,21,8,382,93
10,13,14,336,99
11,10,9,270,121
12,19,15,273,100
13,11,15,231,100
14,6,16,217,105
15,5,12,173,109
16,9,8,160,92
17,7,8,133,95
18,9,15,112,112
19,7,11,93,99
20,3,10,92,97
21,7,11,83,77
22,7,5,78,68
23,7,14,77,60
24,3,12,82,72
25,4,14,76,57
26,2,10,72,64
27,3,7,72,46
28,5,15,66,46
29,4,4,72,47
30,2,9,64,41
31,3,9,69,32
32,2,4,66,33
33,2,7,49,27
34,7,8,59,26
35,4,6,46,28
36,2,4,50,27
37,2,6,43,23
38,4,5,48,15
39,1,1,47,8
40,0,1,40,23
41,5,8,53,15
42,2,4,57,10
43,2,6,49,20
44,3,5,29,10
45,2,5,25,10
46,0,5,42,7
47,2,3,29,5
48,2,0,33,8
49,2,4,24,6
50,2,2,28,7
51,2,1,23,6
52,1,5,23,6
53,0,1,24,6
54,1,5,17,4
55,0,2,23,2
56,2,4,23,5
57,1,2,12,1
58,1,2,13,3
59,1,3,10,2
60,1,NA,NA,NA
