"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,1,187,157
1,9,11,526,234
2,20,13,413,159
3,15,10,420,136
4,29,13,395,127
5,21,22,430,96
6,15,17,432,96
7,21,16,430,121
8,21,9,425,113
9,21,14,382,93
10,12,12,335,99
11,10,17,270,121
12,18,15,273,100
13,10,16,230,100
14,7,12,217,105
15,5,9,173,109
16,8,8,160,92
17,7,15,133,95
18,9,11,112,112
19,7,10,94,99
20,3,13,91,96
21,7,5,83,77
22,7,15,78,68
23,7,12,77,60
24,3,15,82,72
25,4,9,76,57
26,2,7,72,63
27,3,16,72,47
28,5,4,66,46
29,4,9,72,47
30,2,9,64,41
31,3,4,69,32
32,2,7,66,33
33,2,9,49,27
34,6,6,59,26
35,3,4,46,28
36,2,7,50,27
37,2,5,43,23
38,4,1,48,15
39,1,1,47,8
40,0,8,40,23
41,5,4,53,14
42,2,6,57,10
43,2,5,49,20
44,3,6,29,10
45,2,5,25,10
46,0,3,42,7
47,2,0,29,5
48,2,5,33,8
49,1,2,24,6
50,1,2,28,7
51,2,5,23,6
52,1,1,23,6
53,0,5,24,6
54,1,2,17,4
55,0,4,23,2
56,2,2,23,5
57,1,2,12,1
58,1,3,13,3
59,1,1,10,2
60,1,NA,NA,NA
