"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,1,0,195,159
2,2,1,549,237
3,3,1,437,162
4,5,2,452,138
5,4,1,424,129
6,1,4,458,97
7,1,0,472,97
8,0,1,465,122
9,0,0,459,117
10,1,2,403,100
11,0,2,354,101
12,4,0,296,121
13,0,3,298,103
14,2,0,246,103
15,2,1,228,108
16,1,2,189,110
17,1,3,171,94
18,0,1,146,96
19,0,1,123,114
20,0,0,99,102
21,1,2,103,101
22,0,1,96,79
23,1,0,90,75
24,2,3,85,65
25,0,0,89,74
26,1,2,81,59
27,1,0,77,72
28,2,2,79,47
29,0,2,76,49
30,2,1,79,48
31,3,0,70,45
32,1,1,72,34
33,2,0,71,37
34,3,0,59,30
35,1,0,63,30
36,1,2,56,30
37,1,0,55,30
38,0,1,53,27
39,1,3,53,16
40,2,1,48,8
41,2,2,51,25
42,0,0,57,15
43,1,1,63,12
44,0,0,54,21
45,0,1,38,13
46,0,4,26,11
47,1,2,51,11
48,2,3,32,6
49,1,0,35,10
50,3,0,31,6
51,2,1,34,7
52,1,1,28,7
53,3,0,24,8
54,1,1,26,7
55,0,4,21,6
56,3,1,28,4
57,0,1,26,6
58,4,2,15,2
59,1,1,15,4
60,0,2,12,3
