"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,1,191,161
2,9,0,545,235
3,7,2,431,162
4,15,5,442,137
5,11,3,416,129
6,7,6,451,96
7,8,1,461,96
8,7,4,455,122
9,6,4,451,115
10,3,3,399,98
11,2,4,351,101
12,6,2,292,121
13,3,1,290,103
14,3,1,243,103
15,2,3,224,108
16,5,3,184,110
17,2,2,169,92
18,2,5,144,96
19,4,0,118,113
20,3,3,96,101
21,2,6,102,100
22,1,2,94,79
23,6,4,85,73
24,3,5,82,65
25,2,1,87,74
26,0,4,81,59
27,1,5,75,69
28,2,6,77,47
29,1,4,74,49
30,3,3,77,47
31,1,3,68,44
32,2,1,71,33
33,2,3,67,36
34,2,3,57,30
35,2,5,61,30
36,7,5,49,29
37,2,5,52,30
38,5,2,48,26
39,4,3,49,16
40,3,5,46,9
41,6,2,46,25
42,0,6,58,15
43,1,4,61,11
44,0,5,54,21
45,5,6,33,12
46,1,3,25,11
47,1,1,45,9
48,1,2,32,5
49,1,6,35,9
50,4,2,28,6
51,3,3,32,7
52,2,5,24,6
53,0,2,23,7
54,2,5,24,7
55,1,2,17,5
56,0,0,25,4
57,1,1,25,5
58,1,0,13,1
59,3,2,13,4
60,1,0,11,3
