"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,20,138,123
2,22,27,363,172
3,14,22,244,121
4,20,25,251,115
5,13,29,214,91
6,11,35,233,70
7,11,21,251,78
8,18,17,250,91
9,19,22,241,87
10,16,18,231,62
11,9,16,200,80
12,9,10,157,74
13,9,15,181,66
14,3,12,160,74
15,12,17,159,81
16,5,12,107,78
17,3,6,108,58
18,5,12,83,65
19,6,4,77,77
20,6,4,65,81
21,3,6,57,69
22,3,6,60,54
23,5,10,56,50
24,2,6,55,44
25,6,1,50,54
26,1,7,59,40
27,3,5,53,42
28,5,9,43,30
29,2,9,48,32
30,4,10,49,31
31,3,6,51,22
32,3,13,51,16
33,3,6,42,20
34,1,6,36,16
35,2,1,43,15
36,1,9,34,18
37,2,3,33,18
38,2,2,29,16
39,2,3,36,9
40,1,2,34,4
41,2,5,29,13
42,3,4,33,5
43,4,2,42,7
44,5,3,36,12
45,1,5,19,6
46,0,2,20,5
47,2,0,28,3
48,3,2,22,5
49,2,3,25,5
50,3,3,17,3
51,0,1,24,5
52,4,3,12,3
53,2,1,14,4
54,2,1,17,4
55,1,3,11,2
56,1,3,15,2
57,2,0,12,4
58,0,2,7,1
59,2,3,8,2
60,1,6,7,0
