"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,6,179,155
1,10,24,503,225
2,28,32,390,158
3,21,23,397,133
4,29,33,368,125
5,31,28,393,95
6,32,27,403,96
7,23,30,405,118
8,27,20,397,112
9,35,26,361,90
10,23,22,306,97
11,24,26,250,117
12,20,17,253,97
13,20,17,219,98
14,14,35,210,102
15,9,9,155,109
16,17,18,146,89
17,14,17,128,90
18,7,10,108,108
19,8,16,81,95
20,10,13,83,89
21,9,13,78,75
22,5,14,75,67
23,5,15,70,59
24,5,6,77,67
25,6,8,74,53
26,2,7,69,61
27,3,13,70,43
28,4,7,60,45
29,5,15,68,43
30,3,10,59,39
31,2,8,66,27
32,3,11,66,31
33,1,6,50,25
34,1,3,55,22
35,1,8,45,24
36,1,5,45,25
37,5,5,42,23
38,3,6,47,11
39,3,7,43,8
40,3,6,35,20
41,6,3,48,13
42,6,5,56,10
43,4,2,46,19
44,3,4,28,10
45,1,5,24,10
46,1,2,39,7
47,4,1,26,5
48,4,1,30,8
49,2,1,24,7
50,0,3,27,8
51,0,3,21,5
52,2,5,21,5
53,3,0,24,5
54,1,2,16,4
55,1,2,19,2
56,4,2,20,5
57,3,1,12,1
58,0,1,12,3
59,2,2,10,2
60,0,NA,NA,NA
