"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,12,10,75,70
2,31,32,148,99
3,14,30,118,61
4,18,48,88,64
5,9,33,88,52
6,11,42,94,46
7,22,28,78,44
8,23,35,85,52
9,17,35,90,41
10,21,33,107,36
11,8,28,97,35
12,11,26,75,40
13,15,23,79,33
14,9,27,90,32
15,7,15,93,33
16,3,14,65,38
17,7,17,57,24
18,0,14,54,35
19,3,17,44,37
20,1,6,42,34
21,0,18,39,23
22,4,7,33,19
23,3,14,34,25
24,1,8,36,11
25,0,3,34,26
26,4,8,35,16
27,3,5,38,16
28,0,4,20,12
29,1,4,32,9
30,1,4,30,13
31,2,5,32,10
32,1,7,36,7
33,1,3,21,8
34,0,0,21,6
35,1,2,21,3
36,2,0,22,7
37,0,2,21,8
38,0,1,18,4
39,0,2,24,2
40,0,2,23,3
41,0,1,19,6
42,1,0,17,1
43,0,2,28,4
44,1,0,20,1
45,0,2,13,2
46,0,0,9,0
47,2,2,12,2
48,0,0,11,2
49,2,0,12,1
50,0,0,9,2
51,1,0,14,2
52,0,1,6,0
53,1,0,5,3
54,0,1,8,1
55,0,1,5,1
56,0,0,7,0
57,0,0,8,1
58,0,0,4,1
59,0,0,4,2
60,0,0,5,0
