"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,17,146,131
1,4,36,397,189
2,24,39,276,124
3,25,36,281,121
4,26,23,251,99
5,18,23,262,72
6,16,29,269,81
7,19,28,285,98
8,16,23,272,91
9,23,26,258,64
10,22,18,213,83
11,11,13,171,80
12,16,13,200,74
13,12,17,167,78
14,9,9,173,83
15,8,10,114,80
16,8,15,111,64
17,9,13,92,70
18,8,7,80,80
19,9,10,67,81
20,3,13,62,71
21,6,9,66,58
22,2,7,59,56
23,3,3,59,44
24,1,9,55,54
25,4,5,62,42
26,1,9,54,45
27,5,2,47,32
28,5,4,50,35
29,0,7,53,35
30,3,6,53,25
31,3,2,55,18
32,2,5,47,22
33,6,4,41,17
34,3,4,45,15
35,1,3,37,17
36,3,1,33,19
37,1,7,33,18
38,2,1,38,10
39,0,1,36,4
40,1,3,33,16
41,0,1,36,8
42,5,3,48,9
43,1,3,40,15
44,3,1,21,8
45,2,3,21,6
46,1,2,31,4
47,6,2,23,5
48,5,2,26,5
49,1,1,19,3
50,3,3,25,6
51,0,3,15,5
52,3,0,17,4
53,2,2,21,5
54,1,0,12,2
55,2,3,16,2
56,2,1,14,4
57,1,1,8,1
58,2,0,9,3
59,1,0,10,0
60,1,NA,NA,NA
