"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,2,188,159
2,22,7,528,235
3,15,7,417,159
4,24,11,428,136
5,16,6,399,127
6,19,15,433,96
7,18,11,440,96
8,13,6,442,121
9,22,9,434,113
10,11,11,386,95
11,7,13,343,99
12,20,10,273,121
13,9,8,278,100
14,9,8,233,102
15,4,3,219,106
16,6,10,176,110
17,8,12,160,92
18,6,15,137,96
19,7,10,112,113
20,3,7,93,99
21,5,8,95,98
22,4,14,87,78
23,8,9,78,69
24,4,10,78,62
25,4,7,83,73
26,4,4,76,57
27,2,10,73,66
28,4,8,73,47
29,4,14,67,48
30,3,7,72,46
31,4,6,64,42
32,1,13,70,33
33,2,3,66,35
34,8,7,49,27
35,5,9,59,26
36,2,5,46,28
37,1,6,50,29
38,4,8,43,23
39,2,4,48,15
40,0,4,47,8
41,6,4,40,23
42,2,5,54,15
43,1,1,59,10
44,3,0,49,20
45,4,6,29,10
46,0,4,25,10
47,2,5,42,8
48,2,3,29,5
49,2,5,33,8
50,4,4,24,6
51,3,0,28,7
52,1,0,23,6
53,0,4,23,6
54,1,2,24,7
55,0,1,17,4
56,1,4,24,2
57,0,1,24,5
58,1,5,12,1
59,2,2,13,3
60,1,3,10,2
