"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,20,118,111
1,7,36,281,160
2,35,24,189,98
3,21,31,194,101
4,21,22,177,78
5,17,29,188,64
6,18,32,194,73
7,16,27,189,74
8,21,26,174,71
9,27,18,196,57
10,17,26,162,64
11,17,24,127,66
12,10,23,138,59
13,12,19,131,63
14,11,23,135,66
15,9,20,88,70
16,7,12,89,44
17,7,18,71,53
18,5,5,61,67
19,3,15,55,67
20,6,21,46,55
21,5,19,50,44
22,6,11,47,46
23,5,12,44,36
24,5,12,42,42
25,1,13,49,31
26,2,11,49,37
27,2,6,33,24
28,1,9,42,18
29,1,6,37,25
30,5,7,43,14
31,6,5,43,14
32,3,8,32,16
33,5,4,29,13
34,0,9,30,11
35,3,3,30,16
36,0,7,29,12
37,2,4,27,12
38,0,9,33,5
39,2,6,29,4
40,0,3,23,8
41,1,6,25,3
42,2,1,33,8
43,4,5,26,10
44,5,2,18,5
45,0,3,15,3
46,1,0,21,3
47,1,3,18,4
48,4,1,18,3
49,1,0,14,3
50,1,1,19,4
51,1,3,11,4
52,2,0,9,4
53,2,2,12,2
54,2,2,8,2
55,1,3,10,0
56,3,1,9,3
57,0,0,6,1
58,0,0,6,2
59,1,0,6,0
60,1,NA,NA,NA
