"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,11,10,83,77
2,34,23,188,111
3,12,24,141,69
4,23,16,119,74
5,7,24,116,60
6,10,31,124,51
7,31,22,113,46
8,14,19,107,57
9,18,17,114,49
10,18,16,131,40
11,14,12,116,41
12,9,14,92,50
13,10,14,104,48
14,10,15,100,45
15,9,17,108,46
16,7,15,69,47
17,9,18,71,30
18,5,9,54,40
19,6,13,47,48
20,6,12,42,50
21,2,13,39,33
22,2,8,35,26
23,3,16,40,32
24,1,10,38,19
25,1,10,35,30
26,3,9,38,19
27,3,11,41,25
28,4,9,24,18
29,1,14,33,12
30,2,10,31,17
31,2,6,36,11
32,3,7,37,8
33,2,7,22,12
34,3,9,21,9
35,4,4,22,4
36,1,3,24,9
37,0,5,22,9
38,1,6,19,6
39,0,1,24,5
40,1,9,24,3
41,1,3,19,6
42,0,4,19,1
43,2,2,28,4
44,1,0,20,3
45,0,4,13,2
46,1,1,9,0
47,1,3,14,3
48,0,2,12,3
49,1,2,13,1
50,0,2,9,2
51,1,3,14,3
52,0,2,7,1
53,0,0,6,3
54,0,1,8,1
55,1,0,5,2
56,1,1,7,0
57,0,0,8,1
58,0,1,4,1
59,0,1,4,2
60,0,0,5,0
