"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,1,191,161
2,12,6,540,235
3,12,2,425,161
4,15,6,440,137
5,15,6,411,129
6,11,4,444,96
7,12,6,455,96
8,8,4,454,122
9,10,2,449,114
10,5,3,395,97
11,4,4,349,101
12,9,2,289,121
13,6,2,286,103
14,6,8,240,103
15,3,0,223,107
16,4,3,182,110
17,3,7,168,92
18,2,3,143,96
19,4,4,118,113
20,4,6,95,101
21,3,1,100,100
22,3,5,91,79
23,9,8,82,73
24,5,6,80,64
25,3,5,85,74
26,2,4,79,59
27,2,4,74,68
28,4,1,75,47
29,4,5,72,48
30,4,4,76,47
31,1,6,68,43
32,0,5,71,33
33,2,5,67,35
34,3,3,57,29
35,2,6,61,29
36,6,6,49,28
37,1,3,52,30
38,5,6,48,26
39,5,4,48,16
40,1,7,47,8
41,6,6,46,23
42,0,3,57,15
43,1,1,60,11
44,2,4,52,21
45,5,9,32,10
46,1,2,25,10
47,2,4,43,9
48,2,6,30,5
49,1,3,35,9
50,5,5,26,6
51,3,3,31,7
52,1,0,24,6
53,0,1,23,7
54,2,0,24,7
55,1,2,17,5
56,1,0,24,4
57,1,0,25,5
58,2,2,12,1
59,2,2,13,4
60,0,4,11,3
