"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,13,117,110
1,7,33,278,157
2,32,34,188,98
3,13,37,193,98
4,19,30,172,78
5,21,29,188,64
6,16,22,190,73
7,20,27,188,73
8,15,27,173,71
9,26,27,192,56
10,18,25,160,61
11,18,28,126,64
12,8,23,138,59
13,12,16,129,62
14,9,20,133,65
15,10,9,87,68
16,6,17,89,43
17,6,22,70,53
18,5,19,61,66
19,3,16,55,67
20,5,14,46,54
21,5,13,50,43
22,5,15,46,45
23,5,14,44,34
24,3,8,42,41
25,1,10,48,31
26,2,7,49,36
27,1,9,33,24
28,1,5,42,18
29,1,10,37,25
30,4,4,43,14
31,4,9,43,14
32,3,3,32,16
33,5,9,29,12
34,0,4,30,11
35,3,10,30,15
36,0,6,29,12
37,2,3,27,11
38,0,5,32,5
39,3,1,29,4
40,0,5,22,8
41,2,3,25,3
42,3,3,33,8
43,4,0,25,10
44,5,4,18,5
45,0,1,14,3
46,2,0,21,3
47,0,1,18,4
48,3,4,17,3
49,2,1,12,3
50,2,3,19,4
51,0,2,9,4
52,3,3,9,4
53,1,1,12,2
54,2,0,8,2
55,1,1,10,0
56,3,0,9,3
57,0,1,6,1
58,0,1,6,2
59,1,0,6,0
60,1,NA,NA,NA
