"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,4,8,113,108
1,8,31,270,151
2,31,28,180,97
3,20,33,184,97
4,23,29,166,77
5,25,34,181,63
6,19,39,181,71
7,20,37,178,72
8,17,27,167,71
9,23,18,188,54
10,17,24,153,59
11,18,10,118,62
12,13,18,132,59
13,13,32,126,61
14,7,26,131,63
15,9,17,86,66
16,6,19,87,39
17,4,16,69,52
18,4,18,61,65
19,1,15,56,66
20,2,13,46,54
21,5,12,47,42
22,6,9,45,43
23,4,12,42,32
24,3,7,41,40
25,2,12,47,30
26,3,6,47,33
27,3,8,33,24
28,0,5,42,18
29,1,11,37,23
30,3,5,42,14
31,3,12,43,14
32,3,8,31,16
33,4,4,29,12
34,0,5,29,11
35,3,5,30,14
36,0,5,29,12
37,1,3,25,10
38,3,3,31,5
39,3,2,27,4
40,1,4,22,8
41,2,2,25,3
42,2,1,32,8
43,3,1,23,10
44,8,5,16,5
45,1,2,14,3
46,1,4,20,3
47,1,2,18,4
48,3,2,16,3
49,2,1,12,2
50,3,0,18,4
51,1,2,9,4
52,3,0,9,4
53,1,4,12,1
54,1,1,7,2
55,1,0,10,0
56,2,2,9,3
57,0,2,6,1
58,0,0,6,2
59,1,0,6,0
60,1,NA,NA,NA
