"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,1,190,160
2,13,5,538,235
3,12,5,424,160
4,17,10,437,137
5,15,5,408,129
6,12,4,443,96
7,11,3,454,96
8,8,4,454,122
9,10,2,448,114
10,6,2,394,97
11,3,8,349,101
12,12,0,286,121
13,6,3,284,103
14,5,7,240,103
15,1,3,223,106
16,4,6,181,110
17,3,6,167,92
18,2,1,143,96
19,4,6,118,113
20,3,8,95,100
21,3,6,99,100
22,4,7,90,79
23,11,6,80,73
24,5,4,78,64
25,3,1,84,74
26,3,6,78,58
27,2,5,74,68
28,3,8,75,47
29,3,8,72,48
30,2,5,76,46
31,0,5,68,43
32,0,6,71,33
33,3,6,66,35
34,3,5,56,28
35,2,7,61,29
36,5,4,48,28
37,1,6,52,29
38,5,8,47,26
39,4,6,48,16
40,1,3,47,8
41,7,4,45,23
42,1,9,55,15
43,1,2,60,11
44,2,3,51,20
45,5,7,32,10
46,1,3,25,10
47,2,6,43,9
48,2,3,30,5
49,2,3,34,9
50,4,2,26,6
51,3,2,30,7
52,0,2,24,7
53,0,0,23,7
54,2,0,24,7
55,1,3,17,5
56,1,2,24,4
57,0,5,25,5
58,2,1,12,1
59,2,2,13,4
60,0,2,11,2
