"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,3,190,160
2,13,5,538,235
3,13,10,423,160
4,17,5,437,137
5,16,4,407,129
6,13,3,442,96
7,11,4,454,96
8,9,3,453,122
9,10,2,448,114
10,7,8,393,97
11,3,0,349,101
12,12,4,286,121
13,6,7,284,102
14,7,3,238,103
15,3,6,221,106
16,4,6,181,110
17,4,1,167,92
18,2,6,143,96
19,4,7,118,113
20,3,6,95,100
21,3,7,99,100
22,4,6,90,79
23,11,4,80,73
24,5,1,78,64
25,3,6,84,74
26,4,6,77,58
27,2,8,74,68
28,3,8,75,47
29,3,5,72,48
30,3,5,75,46
31,0,6,68,43
32,0,6,71,33
33,3,5,66,35
34,3,7,56,28
35,3,4,60,29
36,4,7,48,28
37,3,8,50,29
38,5,8,46,26
39,3,3,48,16
40,1,4,47,8
41,7,10,44,23
42,1,2,55,15
43,1,3,60,11
44,2,7,51,20
45,5,4,32,10
46,0,5,25,10
47,2,6,43,9
48,2,1,30,5
49,2,2,34,9
50,4,2,26,6
51,4,2,29,7
52,0,0,24,7
53,0,0,23,7
54,2,4,24,7
55,1,2,17,5
56,1,5,24,4
57,0,1,25,5
58,2,2,12,1
59,2,2,13,4
60,0,0,11,2
