"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,29,108,103
1,12,45,256,146
2,28,36,169,94
3,20,35,173,91
4,22,31,151,73
5,26,29,165,62
6,23,43,167,65
7,22,46,168,70
8,13,29,153,67
9,23,28,175,53
10,18,22,143,56
11,19,22,110,62
12,15,27,128,56
13,10,18,119,57
14,11,13,127,59
15,10,20,82,64
16,6,19,86,38
17,4,11,65,49
18,4,19,59,61
19,3,12,54,61
20,2,14,45,51
21,2,7,44,37
22,7,13,44,39
23,3,7,41,28
24,3,13,40,39
25,2,10,46,28
26,3,6,47,32
27,3,8,31,23
28,2,5,40,18
29,2,9,36,22
30,3,5,41,14
31,2,5,43,13
32,2,4,29,15
33,3,5,28,10
34,1,3,29,11
35,3,1,29,11
36,0,1,28,12
37,1,6,22,10
38,4,3,30,5
39,3,5,26,4
40,2,5,20,8
41,5,5,25,3
42,0,3,30,6
43,3,2,23,10
44,4,3,13,4
45,4,2,13,2
46,1,4,20,3
47,0,3,18,4
48,2,0,16,3
49,2,2,12,2
50,1,2,18,4
51,1,1,9,3
52,2,0,8,4
53,2,4,9,1
54,4,2,6,2
55,1,1,9,0
56,2,2,8,3
57,1,4,6,1
58,0,2,5,2
59,2,2,5,0
60,1,NA,NA,NA
