"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,25,159,143
1,9,62,451,203
2,36,52,334,139
3,32,49,345,128
4,34,47,307,113
5,28,45,313,84
6,36,38,341,92
7,26,30,351,106
8,21,30,345,105
9,28,36,307,76
10,35,34,264,92
11,13,26,200,99
12,18,20,220,85
13,20,29,190,89
14,12,22,189,92
15,10,18,133,93
16,10,18,126,77
17,14,15,109,83
18,8,16,93,96
19,10,14,72,90
20,6,19,70,77
21,4,10,69,68
22,10,5,69,63
23,6,10,60,52
24,6,7,64,62
25,6,14,66,49
26,4,13,62,53
27,5,4,59,37
28,5,8,55,37
29,4,6,60,40
30,7,6,57,30
31,1,5,58,25
32,7,8,57,28
33,5,9,46,23
34,1,6,50,19
35,1,6,42,22
36,1,2,37,23
37,3,8,37,19
38,4,4,42,11
39,3,2,37,6
40,6,2,34,18
41,1,1,42,11
42,4,4,52,9
43,2,1,44,15
44,3,3,24,9
45,3,0,22,8
46,1,3,36,4
47,4,3,25,5
48,3,1,28,5
49,3,1,22,4
50,2,1,27,7
51,0,4,16,5
52,5,1,18,5
53,2,0,21,5
54,3,0,15,2
55,0,0,19,2
56,1,0,16,4
57,1,0,12,1
58,0,2,11,3
59,1,2,10,2
60,0,NA,NA,NA
