"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,11,129,113
1,4,26,327,170
2,30,26,209,110
3,18,30,215,109
4,22,24,191,84
5,12,27,202,68
6,14,29,221,76
7,15,24,213,83
8,18,25,208,81
9,26,28,213,60
10,10,17,183,72
11,13,15,137,71
12,16,9,154,62
13,18,22,140,68
14,9,17,146,73
15,13,14,95,73
16,5,17,97,50
17,6,11,78,58
18,4,10,64,74
19,7,15,63,76
20,1,5,51,60
21,4,14,54,49
22,6,16,50,46
23,8,11,49,41
24,5,10,42,49
25,4,7,53,37
26,2,6,53,38
27,3,8,35,27
28,5,11,43,25
29,3,5,41,30
30,7,5,47,16
31,4,9,46,15
32,3,3,36,18
33,7,7,29,14
34,2,2,36,13
35,5,8,30,18
36,0,10,30,16
37,3,12,29,14
38,1,3,36,8
39,0,5,29,4
40,2,3,24,10
41,3,4,28,4
42,4,6,38,8
43,5,4,31,11
44,4,4,18,5
45,0,5,17,4
46,1,0,23,3
47,2,1,21,4
48,3,0,22,3
49,4,1,13,3
50,2,3,19,4
51,3,1,12,4
52,1,4,12,4
53,0,2,15,2
54,2,3,10,2
55,1,1,14,1
56,2,1,9,3
57,2,0,6,1
58,1,0,7,2
59,0,1,7,0
60,0,NA,NA,NA
