"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,0,191,159
2,8,3,542,236
3,7,3,431,162
4,15,2,442,137
5,10,3,417,129
6,5,4,453,97
7,8,4,462,96
8,6,2,456,122
9,6,4,452,116
10,4,1,399,98
11,2,4,351,101
12,4,1,294,121
13,5,2,290,103
14,4,3,243,103
15,1,2,225,108
16,7,1,183,110
17,2,0,170,92
18,2,2,144,96
19,3,1,119,114
20,3,2,97,101
21,1,3,102,100
22,0,0,95,79
23,4,3,87,73
24,4,6,83,65
25,2,2,87,74
26,1,4,81,59
27,0,4,76,70
28,3,1,78,47
29,2,2,74,49
30,2,5,78,47
31,2,5,68,45
32,2,4,71,33
33,2,3,68,36
34,4,1,57,30
35,2,1,61,30
36,6,2,50,29
37,2,1,53,30
38,5,4,48,27
39,3,3,50,16
40,3,5,46,8
41,4,2,48,25
42,0,3,57,15
43,0,4,62,11
44,0,2,54,21
45,5,6,35,12
46,0,4,26,11
47,4,5,45,9
48,0,4,32,6
49,1,2,35,9
50,4,0,28,6
51,3,1,32,7
52,2,6,25,6
53,0,2,23,7
54,2,3,24,7
55,3,4,17,5
56,1,1,25,4
57,1,5,25,5
58,1,2,13,1
59,1,0,15,4
60,1,0,11,3
