"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,13,108,101
1,11,34,254,140
2,28,36,168,91
3,23,31,170,90
4,21,51,150,73
5,20,55,163,62
6,18,34,166,59
7,17,29,167,70
8,11,24,152,67
9,21,29,172,53
10,17,31,143,56
11,15,23,110,61
12,11,14,128,55
13,6,24,119,57
14,10,22,126,57
15,9,12,82,63
16,5,19,86,38
17,3,14,65,48
18,4,14,59,59
19,3,8,54,61
20,2,15,45,49
21,1,7,42,37
22,9,13,44,39
23,3,11,41,28
24,3,6,40,39
25,2,9,46,27
26,3,5,47,32
27,2,9,30,23
28,3,5,40,18
29,2,5,36,22
30,2,4,41,14
31,2,5,43,13
32,2,3,29,15
33,3,2,28,9
34,1,1,29,11
35,3,6,29,11
36,0,3,28,12
37,1,5,22,10
38,4,5,30,5
39,2,5,26,4
40,2,4,20,8
41,5,2,25,3
42,0,3,30,6
43,3,2,23,9
44,5,5,13,4
45,3,3,13,2
46,1,0,20,3
47,0,2,17,4
48,1,2,16,3
49,2,1,12,2
50,1,0,18,4
51,1,4,9,3
52,2,3,8,3
53,3,1,9,1
54,3,2,6,2
55,1,4,9,0
56,2,2,8,3
57,1,2,6,1
58,0,0,5,2
59,2,2,5,0
60,1,NA,NA,NA
