"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,11,115,110
1,9,36,273,153
2,35,33,185,97
3,16,30,191,98
4,19,27,170,77
5,22,35,184,63
6,17,31,187,72
7,16,31,181,72
8,19,32,170,71
9,20,36,192,55
10,13,26,157,59
11,14,17,121,64
12,11,23,134,59
13,14,10,128,62
14,6,17,133,65
15,10,26,86,67
16,8,22,88,41
17,4,16,70,53
18,5,17,62,66
19,1,14,55,66
20,4,16,46,54
21,7,15,47,42
22,7,11,45,44
23,5,12,42,34
24,3,7,41,40
25,2,9,48,31
26,2,6,48,35
27,2,11,33,24
28,0,4,42,18
29,1,9,37,24
30,4,4,42,14
31,4,9,43,14
32,3,4,32,16
33,4,11,29,12
34,0,7,29,11
35,3,4,30,14
36,0,5,29,12
37,2,3,25,11
38,2,5,32,5
39,2,3,28,4
40,2,3,22,8
41,2,1,25,3
42,2,4,32,8
43,4,1,25,10
44,5,1,17,5
45,1,1,14,3
46,2,4,21,3
47,0,2,19,4
48,3,4,17,3
49,1,2,12,2
50,3,3,19,4
51,0,1,9,4
52,3,0,9,4
53,1,2,12,2
54,2,0,8,2
55,0,2,10,0
56,2,1,9,3
57,0,0,6,1
58,0,2,6,2
59,1,2,6,0
60,1,NA,NA,NA
