"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,13,16,105,100
2,22,58,250,138
3,20,64,164,88
4,17,41,166,90
5,19,36,147,72
6,18,26,158,62
7,18,36,161,58
8,12,36,161,68
9,23,28,150,65
10,16,19,170,51
11,13,31,141,54
12,11,27,106,58
13,8,13,125,54
14,11,21,118,54
15,11,17,124,56
16,6,15,80,62
17,3,8,86,38
18,4,17,65,48
19,3,9,58,59
20,1,13,53,61
21,3,13,45,48
22,7,7,42,36
23,3,12,44,39
24,2,6,41,26
25,2,10,39,37
26,1,6,46,27
27,3,6,46,31
28,4,4,29,23
29,3,8,40,17
30,2,3,36,21
31,0,2,41,13
32,2,1,43,13
33,3,7,29,15
34,1,3,27,9
35,3,5,29,11
36,0,5,29,11
37,0,6,28,12
38,4,4,22,10
39,2,3,30,5
40,2,3,26,4
41,4,2,20,8
42,0,6,25,3
43,2,4,30,6
44,4,0,23,9
45,3,2,13,4
46,1,2,13,2
47,0,1,20,3
48,1,0,17,4
49,2,4,16,3
50,2,4,11,2
51,2,2,17,3
52,2,2,8,3
53,2,5,8,3
54,3,2,9,1
55,1,2,6,2
56,2,0,9,0
57,1,2,8,3
58,0,2,6,1
59,2,3,5,2
60,0,0,5,0
