"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,0,191,161
2,9,3,545,235
3,8,5,430,162
4,15,4,442,137
5,11,5,416,129
6,7,1,451,96
7,9,4,460,96
8,7,4,455,122
9,6,3,451,115
10,4,4,398,98
11,2,2,351,101
12,7,1,291,121
13,3,2,290,103
14,3,3,243,103
15,2,3,225,108
16,6,2,182,110
17,2,5,169,92
18,2,0,144,96
19,5,3,118,113
20,3,6,97,101
21,2,2,101,100
22,1,4,94,79
23,6,5,85,73
24,3,1,82,65
25,2,4,87,74
26,1,5,80,59
27,1,6,75,69
28,2,4,77,47
29,2,3,74,49
30,3,3,77,48
31,1,1,68,43
32,1,4,71,33
33,2,3,67,36
34,2,6,57,29
35,2,5,61,30
36,7,5,49,29
37,1,3,52,30
38,5,3,48,26
39,4,5,49,17
40,2,3,46,8
41,6,7,47,24
42,0,4,57,15
43,1,5,61,11
44,0,6,54,21
45,5,3,33,12
46,1,1,25,11
47,1,2,45,9
48,1,6,31,5
49,1,2,35,9
50,4,3,28,6
51,2,6,32,7
52,2,2,24,6
53,0,5,23,7
54,2,2,24,7
55,1,0,17,5
56,0,1,25,4
57,1,0,25,5
58,1,2,13,1
59,3,0,13,4
60,1,0,11,3
