"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,18,145,130
1,6,41,404,188
2,27,49,288,127
3,18,35,290,123
4,26,40,256,101
5,23,43,267,74
6,16,28,282,83
7,15,34,293,100
8,16,27,283,92
9,22,22,268,64
10,18,18,221,85
11,13,17,179,85
12,17,18,202,76
13,7,16,172,79
14,8,16,175,83
15,7,17,117,81
16,10,10,112,66
17,11,8,95,74
18,7,9,84,80
19,7,11,68,82
20,2,6,65,73
21,4,6,64,58
22,3,11,59,56
23,5,10,57,46
24,3,7,56,55
25,7,5,63,44
26,0,11,57,46
27,4,7,50,32
28,4,4,49,35
29,1,3,54,34
30,3,5,53,26
31,4,5,55,19
32,2,8,49,22
33,6,2,42,18
34,2,3,46,16
35,3,4,39,18
36,3,2,33,20
37,2,1,33,18
38,2,5,38,11
39,0,2,36,5
40,2,3,34,16
41,0,2,37,8
42,6,1,49,9
43,2,3,40,15
44,4,0,23,8
45,1,0,22,7
46,0,2,33,4
47,4,0,24,5
48,4,3,27,5
49,1,2,22,4
50,0,1,25,7
51,1,2,15,5
52,3,1,16,5
53,3,1,21,5
54,1,1,12,2
55,2,0,16,2
56,4,2,14,4
57,1,2,11,1
58,0,0,9,3
59,2,2,10,1
60,0,NA,NA,NA
