"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,5,129,114
1,7,18,345,172
2,21,30,220,113
3,19,19,227,112
4,22,15,197,88
5,13,15,213,68
6,13,19,231,77
7,15,22,225,86
8,14,15,215,84
9,24,9,218,61
10,13,19,187,76
11,11,13,145,72
12,11,14,165,63
13,14,18,147,69
14,10,19,155,77
15,7,15,97,77
16,9,19,99,52
17,7,14,79,61
18,4,11,69,76
19,6,6,63,77
20,1,17,53,62
21,4,5,55,53
22,6,8,49,46
23,9,12,51,42
24,3,5,42,51
25,6,7,55,38
26,3,8,52,40
27,4,4,36,27
28,6,11,46,28
29,4,10,47,30
30,3,7,48,18
31,2,7,47,17
32,4,2,42,17
33,3,5,31,16
34,2,5,36,13
35,7,6,30,18
36,1,3,30,17
37,4,2,30,15
38,2,6,36,8
39,0,3,31,4
40,2,6,25,11
41,4,1,31,5
42,2,7,39,8
43,4,7,32,12
44,4,9,18,5
45,2,1,18,4
46,3,5,23,3
47,2,2,22,4
48,2,0,25,4
49,2,4,16,3
50,1,2,22,4
51,0,2,11,4
52,1,3,12,4
53,3,0,15,2
54,3,1,10,2
55,1,0,14,2
56,1,0,9,3
57,3,2,6,1
58,1,1,7,2
59,1,3,7,0
60,0,NA,NA,NA
