"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,1,2,195,160
2,2,2,552,237
3,5,4,438,163
4,5,2,453,139
5,2,3,426,129
6,1,1,458,97
7,1,1,475,97
8,0,0,465,122
9,0,0,459,117
10,2,0,404,100
11,1,0,354,101
12,3,0,297,121
13,1,0,298,103
14,2,2,246,104
15,1,0,229,108
16,1,0,189,110
17,1,0,171,94
18,0,1,146,96
19,2,2,123,115
20,0,0,99,102
21,0,1,104,101
22,0,0,96,79
23,2,1,90,75
24,4,0,85,66
25,0,1,89,74
26,0,1,82,59
27,1,0,77,72
28,2,0,79,47
29,1,1,76,49
30,2,1,79,49
31,0,0,73,46
32,1,1,72,34
33,1,0,72,37
34,3,2,59,30
35,0,0,64,30
36,0,0,57,30
37,1,1,55,30
38,0,0,53,27
39,1,0,53,16
40,2,1,48,8
41,2,0,52,25
42,0,0,57,15
43,1,0,63,12
44,0,1,54,21
45,0,0,38,13
46,1,1,26,11
47,1,2,51,11
48,1,1,33,6
49,1,2,35,10
50,1,0,33,6
51,1,0,35,7
52,1,0,28,7
53,2,1,25,8
54,2,4,26,7
55,0,2,21,7
56,2,1,29,4
57,1,0,27,6
58,2,0,17,2
59,1,1,15,4
60,1,0,12,3
