"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,9,136,121
1,9,34,356,170
2,22,22,235,118
3,18,19,241,115
4,23,30,208,90
5,15,25,230,70
6,6,25,245,77
7,12,17,243,88
8,12,16,231,87
9,26,20,226,62
10,13,22,198,77
11,7,13,151,73
12,11,10,178,65
13,10,16,155,71
14,8,8,156,81
15,10,4,104,77
16,7,7,105,56
17,5,8,82,63
18,3,11,72,77
19,9,9,64,81
20,7,2,56,68
21,3,9,59,54
22,4,7,55,49
23,4,9,53,44
24,2,9,49,54
25,5,11,59,40
26,0,8,52,42
27,6,15,42,29
28,6,6,48,32
29,1,7,48,31
30,4,3,49,20
31,3,12,49,16
32,5,3,41,18
33,3,3,35,16
34,2,5,41,14
35,2,2,34,18
36,1,5,33,18
37,2,5,30,16
38,2,2,36,9
39,1,4,33,4
40,2,7,28,13
41,1,4,33,5
42,3,1,41,7
43,3,2,35,11
44,6,4,18,6
45,1,3,18,5
46,2,2,28,3
47,1,3,22,4
48,4,1,25,5
49,1,1,17,3
50,3,3,23,5
51,1,3,12,3
52,4,0,13,4
53,3,4,17,4
54,2,4,12,2
55,0,6,14,2
56,1,0,10,3
57,4,2,7,1
58,0,0,8,2
59,2,0,7,0
60,0,NA,NA,NA
