"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,9,11,77,71
2,30,33,156,101
3,12,32,122,61
4,17,33,92,66
5,12,27,90,54
6,14,42,97,46
7,24,28,83,44
8,12,33,93,54
9,14,27,94,41
10,19,32,112,36
11,11,33,99,36
12,15,30,76,40
13,18,22,82,38
14,8,16,91,34
15,9,19,93,35
16,4,20,64,40
17,5,14,60,25
18,0,15,54,35
19,2,15,45,37
20,1,14,42,34
21,1,14,38,24
22,2,6,34,21
23,3,16,35,27
24,2,5,35,12
25,0,12,34,26
26,3,6,37,16
27,3,4,38,15
28,1,9,20,13
29,1,3,32,9
30,0,4,31,13
31,2,4,32,10
32,0,4,37,7
33,0,5,22,8
34,0,8,21,6
35,0,3,22,3
36,1,0,23,7
37,0,2,21,8
38,0,0,18,4
39,0,1,24,2
40,0,1,23,3
41,0,2,19,6
42,1,2,18,1
43,0,1,28,4
44,1,0,20,1
45,0,2,13,2
46,0,0,9,0
47,2,2,12,2
48,0,0,11,2
49,2,2,12,1
50,0,0,9,2
51,1,0,14,2
52,0,0,6,0
53,1,0,5,3
54,0,1,8,1
55,0,0,5,1
56,0,1,7,0
57,0,1,8,1
58,0,0,4,1
59,0,0,4,2
60,0,0,5,0
