"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,7,138,124
2,26,19,364,172
3,18,45,247,121
4,19,26,255,116
5,15,20,217,91
6,13,21,235,70
7,11,24,254,78
8,19,30,253,92
9,19,20,243,88
10,18,10,232,62
11,8,18,201,80
12,10,15,158,74
13,10,15,182,66
14,3,8,161,74
15,14,11,159,81
16,6,11,107,78
17,4,14,109,59
18,4,8,84,66
19,6,4,78,77
20,4,11,67,81
21,4,5,58,69
22,3,4,60,54
23,4,5,57,50
24,2,6,56,44
25,5,10,51,54
26,1,5,59,40
27,4,1,53,42
28,4,5,44,30
29,3,5,48,32
30,4,9,49,33
31,4,7,51,22
32,3,8,51,16
33,3,5,42,20
34,4,13,36,16
35,2,4,43,15
36,2,5,34,18
37,3,1,33,18
38,2,8,29,16
39,2,2,36,9
40,0,2,35,4
41,2,3,29,13
42,3,2,33,5
43,4,5,42,7
44,4,4,37,13
45,1,2,19,6
46,1,2,20,5
47,2,5,28,3
48,3,2,22,5
49,2,0,25,5
50,2,1,18,3
51,0,3,24,5
52,4,3,12,3
53,2,1,14,4
54,2,3,17,4
55,2,1,11,2
56,1,1,15,2
57,2,2,12,4
58,0,3,7,1
59,0,0,9,3
60,2,2,7,0
